new_location,map_location_count,location_lon,location_lat
"ALAMANCE COUNTY, NC",6,-79.3992505,36.0702678
"ALEXANDER COUNTY, NC",35,-81.1716315,35.924738
"ALLEGHANY COUNTY, NC",45,-81.1340843,36.5029951
"ASHE COUNTY, NC",194,-81.5076569,36.4393554
"AVERY COUNTY, NC",1182,-81.9230523,36.0771285
"BRUNSWICK COUNTY, NC",1,-78.1914215,34.0718195
"BUNCOMBE COUNTY, NC",781,-82.5255603,35.6292222
"BURKE COUNTY, NC",390,-81.6632108,35.7270403
"CABARRUS COUNTY, NC",9,-80.564371,35.4045503
"CALDWELL COUNTY, NC",262,-81.5262567,35.9417876
"CARTERET COUNTY, NC",2,-76.5931208,34.8496625
"CASWELL COUNTY, NC",4,-79.3357315,36.4035101
"CATAWBA COUNTY, NC",88,-81.2107215,35.6740563
"CHEROKEE COUNTY, NC",2,-84.0886181,35.1184149
"CLAY COUNTY, NC",4,-83.7324509,35.0572652
"CLEVELAND COUNTY, NC",8,-81.5507523,35.330702
"DAVIE COUNTY, NC",5,-80.5464948,35.9375154
"DURHAM COUNTY, NC",11,-78.8751582,36.0181316
"FORSYTH COUNTY, NC",7,-80.2415712,36.1476399
"GASTON COUNTY, NC",8,-81.179014,35.2849659
"GILFORD COUNTY, NC",1,-78.455056,35.387362
"GUILFORD COUNTY, NC",16,-79.7888515,36.0875688
"HALIFAX COUNTY, NC",1,-77.66834,36.2494056
"HAYWOOD COUNTY, NC",201,-82.9907823,35.5456202
"HENDERSON COUNTY, NC",156,-82.4663918,35.3389062
"HOKE COUNTY, NC",1,-79.2432785,35.0271856
"HYDE COUNTY, NC",1,-76.1253302,35.3935017
"IREDELL COUNTY, NC",20,-80.8805593,35.8101636
"JACKSON COUNTY, NC",32,-83.1388055,35.2962391
"JOHNSTON COUNTY, NC",1,-78.3768021,35.5285816
"LINCOLN COUNTY, NC",4,-81.2062724,35.4866424
"MACON COUNTY, NC",5,-83.3977297,35.1436639
"MADISON COUNTY, NC",37,-82.6931063,35.8482034
"MARION COUNTY, NC",2,-78.455056,35.387362
"MCDOWELL COUNTY, NC",179,-82.0482171,35.6608869
"MECKLENBURG COUNTY, NC",8,-80.8139485,35.2356385
"MITCHELL COUNTY, NC",258,-82.1349028,36.0001181
"NASH COUNTY, NC",5,-77.9755309,35.992983
"NEW HANOVER COUNTY, NC",1,-77.8818627,34.2751052
"ORANGE COUNTY, NC",52,-79.1172679,36.0605095
OTHER,30,0.0,0.0
"PENDER COUNTY, NC",2,-77.8959525,34.5294394
"POLK COUNTY, NC",17,-82.176176,35.2779217
"RUTHERFORD COUNTY, NC",40,-81.9023191,35.3994626
SC,31,-81.9320157,34.9498007
"SURRY COUNTY, NC",11,-80.7013751,36.4135582
"SWAIN COUNTY, NC",8,-83.466275,35.45819
TN,79,-82.4765352,36.4198258
"TRANSYLVANIA COUNTY, NC",38,-82.7724889,35.1982216
"UNION COUNTY, NC",151,-80.5128209,34.9795158
"UNKNOWN COUNTY, NC",1681,-78.455056,35.387362
VA,10,-81.519515,36.8331284
"WAKE COUNTY, NC",35,-78.6118311,35.7979355
"WATAUGA COUNTY, NC",1004,-81.6863808,36.2228105
"WAYNESVILLE COUNTY, NC",1,-82.996853,35.479
"WILKES COUNTY, NC",155,-81.1341351,36.1998247
"YADKIN COUNTY, NC",6,-80.67623,36.1497114
"YANCEY COUNTY, NC",159,-82.3035673,35.8875402
